,id,name,type,nodes,edges,new_edges
45,45,ugandan_village/friendship-15,"['Social', 'Offline', 'Unweighted', 'Multilayer']",120,274,0
46,46,ugandan_village/friendship-17,"['Social', 'Offline', 'Unweighted', 'Multilayer']",65,257,0
47,47,ugandan_village/health-advice_1,"['Social', 'Offline', 'Unweighted', 'Multilayer']",187,431,0
48,48,ugandan_village/health-advice_2,"['Social', 'Offline', 'Unweighted', 'Multilayer']",170,394,0
49,49,ugandan_village/health-advice_3,"['Social', 'Offline', 'Unweighted', 'Multilayer']",185,638,0
50,50,ugandan_village/health-advice_5,"['Social', 'Offline', 'Unweighted', 'Multilayer']",166,386,0
51,51,ugandan_village/health-advice_6,"['Social', 'Offline', 'Unweighted', 'Multilayer']",131,284,0
52,52,ugandan_village/health-advice_7,"['Social', 'Offline', 'Unweighted', 'Multilayer']",121,473,0
53,53,ugandan_village/health-advice_9,"['Social', 'Offline', 'Unweighted', 'Multilayer']",173,623,0
54,54,ugandan_village/health-advice_10,"['Social', 'Offline', 'Unweighted', 'Multilayer']",204,820,0
55,55,ugandan_village/health-advice_11,"['Social', 'Offline', 'Unweighted', 'Multilayer']",234,527,0
56,56,ugandan_village/health-advice_12,"['Social', 'Offline', 'Unweighted', 'Multilayer']",218,534,0
57,57,ugandan_village/health-advice_13,"['Social', 'Offline', 'Unweighted', 'Multilayer']",157,286,0
58,58,ugandan_village/health-advice_14,"['Social', 'Offline', 'Unweighted', 'Multilayer']",120,326,0
59,59,ugandan_village/health-advice_15,"['Social', 'Offline', 'Unweighted', 'Multilayer']",117,196,0
60,60,ugandan_village/health-advice_16,"['Social', 'Offline', 'Unweighted', 'Multilayer']",349,862,0
61,61,ugandan_village/health-advice_17,"['Social', 'Offline', 'Unweighted', 'Multilayer']",63,146,0
62,62,urban_streets/barcelona,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",210,323,0
63,63,urban_streets/bologna,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",541,771,0
64,64,urban_streets/brasilia,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",179,230,0
65,65,urban_streets/irvine2,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",178,189,0
66,66,urban_streets/london,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",488,729,0
67,67,urban_streets/los-angeles,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",240,339,0
68,68,urban_streets/new-delhi,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",252,328,0
69,69,urban_streets/new-york,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",248,418,0
70,70,urban_streets/paris,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",335,494,0
71,71,urban_streets/san-francisco,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",169,271,0
72,72,urban_streets/savannah,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",584,958,0
73,73,urban_streets/vienna,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",467,691,0
74,74,urban_streets/walnut-creek,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",169,196,0
75,75,urban_streets/washington,"['Transportation', 'Roads', 'Unweighted', 'Metadata']",192,302,0
76,76,windsurfers,"['Social', 'Offline', 'Weighted']",43,336,0
77,77,zebras,"['Social', 'Animal', 'Unweighted', 'Metadata']",23,105,0
